model_name,dataset,group,horizon,std_dev_smape,std_dev_mae,std_dev_mse,median_smape,median_mae,median_mse
nbeats,m3,Monthly,4,0.000762603903094,4.215123146350711,38982.8389952774,0.1136383052913034,470.3188697973085,877614.6459096931
nbeats,m3,Monthly,6,0.000755062086737,4.096718845171086,33782.728396281,0.1146036961171849,478.0908756428495,856665.6470015282
nbeatsstackmoe,m3,Monthly,4,0.0007429907216203,3.1287073475685503,22850.37665474541,0.1133277918416735,469.0618437445932,877845.249850099
nbeatsstackmoe,m3,Monthly,6,0.0006125982094792,2.639591653224265,19836.74357984,0.1145176116034145,477.8642151528581,852688.359072823
nbeatsmoe,m3,Monthly,4,0.0010381727041295,5.065048913558214,61286.9742657567,0.1153165383780935,482.11694949687023,949103.6908168304
nbeats,m3,Monthly,12,0.0010317373791143,2.6413660569805635,13010.6581664689,0.1259246316584887,549.9626363336205,1244497.5743766725
nbeatsstackmoe,m3,Monthly,12,0.0011281482043835,3.7091918482120807,18602.78784758256,0.1267198975752022,550.7162694501698,1259608.4933253825
nbeatsstackmoe,m3,Monthly,18,0.0005651338084214,2.847806496321643,36854.41600233682,0.1385109543866703,615.1442807457048,1378959.893586719
nbeats,m3,Monthly,18,0.0009791104088611,5.202307771408114,26682.876439593136,0.1384238602649298,616.5479654974511,1379804.486069649
nbeatsstackmoe,m3,Monthly,24,0.0008050440584903,2.6303947119503195,24222.43140167696,0.1464410485497079,652.0410101922309,1460581.5226249546
nbeats,m3,Monthly,24,0.0010007719345351,3.228408587975696,31215.801595544905,0.1464862193868551,654.2235713169889,1472135.600312756
nbeatsmoe,m3,Monthly,6,0.0004836495034093,2.07450898142972,31668.554221757426,0.1145949455294052,475.537236700334,878350.3492300874
nbeatsmoe,m3,Monthly,12,0.0010767101529798,5.153408142381278,44294.21531574485,0.1294536802843996,564.3060364846622,1304067.3243078492
nbeatsmoe,m3,Monthly,18,0.000493620466733,2.5893549899502952,23566.25869934731,0.138753134123964,617.3768423874134,1376825.7117795332
nbeatsmoe,m3,Monthly,24,0.0011662796924488,5.394843156156005,36343.68057452185,0.1474375395454823,658.7856163536823,1500777.6654952262
vanillatransformer,m3,Monthly,4,0.0008378640328146,4.153523218649898,53063.33423124367,0.1193647346820816,509.3153201478804,1300103.4635422493
vanillatransformer,m3,Monthly,6,0.0008546120199919,4.52675624058489,57007.79794259785,0.1163275503221109,497.3531817559991,1074784.9931529271
informermoe,m3,Monthly,4,0.0024295176966369,12.687084306945524,55835.92423357748,0.1279718761937021,546.9375655795614,1262685.5234240335
informermoe,m3,Monthly,6,0.0005202600449253,2.754328927454836,51601.68453844533,0.1162566611271144,497.43412975991583,1116361.6318970472
informermoe,m3,Monthly,12,0.0019679782170044,6.827190046161967,83615.91276090534,0.1299838997130573,579.3694313048604,1470240.7319962657
informermoe,m3,Monthly,18,0.0019348902694873,10.081334234288637,97947.80720850993,0.1466909456522808,664.730162560528,1800307.956443179
informermoe,m3,Monthly,24,0.0022385411068922,11.216396701608968,144498.75142615568,0.1626167790527911,764.7917802213888,2134844.3935511447
vanillatransformer,m3,Monthly,12,0.0010235204060174,4.168076368517734,42141.69148164132,0.1302085358499922,581.4244327654512,1489795.29834279
vanillatransformer,m3,Monthly,18,0.0028305443098227,13.106801791856189,63305.08439980425,0.1507566565179297,682.0279600338738,1823164.331163569
vanillatransformer,m3,Monthly,24,0.0051733468302574,21.002385286353867,157028.3459018776,0.1673482483162784,766.3543705543104,2136529.494155998
nbeatsmoe,m3,Quarterly,2,0.0005073875069585,3.124047355051344,14770.369031983166,0.0534627175276958,294.8459065932824,440553.1568815359
nbeatsmoe,m3,Quarterly,4,0.0004345957909805,2.216698066599484,9950.24309274952,0.0644969934650171,344.5210559263684,451513.36845964415
nbeatsmoe,m3,Quarterly,6,0.0003964337936704,2.1509485052998105,3723.917924024797,0.0771681834589436,410.92172157920015,639572.633867718
nbeatsmoe,m3,Quarterly,8,0.0006914827512483,4.818638566247832,10852.289990633486,0.0894831220230546,481.47971510609625,831856.4017096418
nbeats,m3,Quarterly,2,0.0104606556246407,45.16814899575347,100562.86332946677,0.0672250272834485,362.47326346180427,587134.0375635461
nbeats,m3,Quarterly,4,0.0086876734561699,48.43444395878807,248701.6776749981,0.073004576776568,389.10647299489017,565714.9099802629
nbeats,m3,Quarterly,6,0.0048910158181054,25.42881312054203,80407.95502592601,0.0909199431772717,473.7448142713382,784509.4772632618
nbeats,m3,Quarterly,8,0.0056377610713392,29.07103384703195,115583.46937677624,0.1049052751251432,564.5002077372869,1075931.124009408
nbeatsmoe,m3,Yearly,2,0.0010449638426006,6.563386761250191,34383.89657557999,0.1083452996566493,627.4115087161988,1434722.6664160215
nbeatsstackmoe,m3,Quarterly,2,0.008649451864615,36.4272392187642,77597.03411167186,0.0714798811810201,374.7795860647777,637002.2805925512
nbeatsstackmoe,m3,Quarterly,4,0.0076587671022478,42.1992701983867,200634.08156985565,0.0745312129120212,393.2365271440133,685700.0160547062
nbeatsstackmoe,m3,Quarterly,6,0.0049501009061777,23.88583751173193,90520.67602565372,0.0902824767516322,472.1307323050794,792173.0117243943
nbeatsmoe,m3,Yearly,3,0.0009141777317132,4.897745020453143,41238.33090948699,0.137475093935379,798.3151193734102,1926950.545672468
nbeatsstackmoe,m3,Quarterly,8,0.0047493604802943,27.8765702747443,82586.31539688652,0.1025138673212723,543.697197073124,1021343.190990592
nbeatsmoe,m4,Monthly,4,0.0010271523294794,3.266706483774588,16930.919237649254,0.0894627443305817,369.20873184402313,1123472.6747331093
nbeatsmoe,m3,Yearly,4,0.0013145283408869,9.20556163608393,109471.67285071456,0.1491808663914537,868.04910830239,2339535.7080060914
nbeats,m4,Quarterly,2,0.0002378754717452,1.133492162328007,8424.40733532776,0.0664029505112605,362.93114930554896,1099650.2416190363
nbeats,m3,Yearly,2,0.0009974439333412,6.599352689849443,42159.07581114301,0.1061480183836165,624.2312425414093,1485421.0772209326
nbeats,m3,Yearly,3,0.0018376935106796,7.23019779220681,52317.19837776044,0.1361084769304409,791.9771965313106,1900209.5385451228
nbeats,m3,Yearly,4,0.0013039527077147,7.880203300042214,40132.26445748568,0.1468858569336765,858.048436481801,2155591.5746951904
nbeatsstackmoe,m3,Yearly,2,0.0009220480504594,5.980609190717136,34814.94125237973,0.1068318950157822,628.7150423347414,1485816.9566021746
nbeats,m4,Quarterly,4,0.0001841784962444,0.9184746033748936,7194.595019888228,0.078327343928108,429.58929016460166,1271660.8564298437
nbeatsstackmoe,m3,Yearly,3,0.0020262351450672,7.67995181780721,58425.3786523999,0.1366380119514216,794.868382418216,1953839.470709917
nbeatsstackmoe,m3,Yearly,4,0.001414930115247,8.824304904598467,39059.58949472084,0.146806847801725,857.2444872015428,2169455.1395896208
nbeatsmoe,m4,Monthly,6,0.0012854545457427,3.647485446108728,19870.641666583066,0.0951572870304875,398.7111570736994,1216856.8877146896
nbeats,m4,Quarterly,6,0.0001013686130206,0.9371613882695377,15854.236252592342,0.0888313211057636,488.0464791942692,1473777.3352231602
nbeats,m4,Quarterly,8,0.0002108108448792,1.0862198858375665,9651.645119161984,0.0981462251247315,544.4739196250239,1727708.9506124707
nbeatsmoe,m4,Monthly,12,0.0008025554678927,3.15025931620035,103687.811073062,0.1114411097057713,474.4210812326363,1584244.545557948
nbeatsmoe,m4,Quarterly,2,0.0002103109502078,1.155116972596724,7047.567199569347,0.0667331462728098,363.3860841901456,1100773.3512079038
nbeatsmoe,m4,Monthly,18,0.0013755885474896,4.994836673071319,19753.920297219927,0.1312324396830651,556.1633755177189,1822196.580889501
nbeatsmoe,m4,Quarterly,4,0.0002505723282266,1.2668574234179808,8459.533746855577,0.0785030607727302,430.3017894788581,1280293.1057447982
nbeatsmoe,m4,Monthly,24,0.0011538800809092,5.009522594130148,34110.98377816335,0.1395339673836567,602.7898242321714,2027603.377107243
nbeatsmoe,m4,Quarterly,6,0.0002789292239952,1.6497463441183733,25779.91364747341,0.0894342606961247,490.4744857541302,1484825.960188161
nbeats,m4,Monthly,4,0.0007920675964535,1.9294904680499696,13000.087909674245,0.0916323971405678,378.6203744750685,1161178.8965467964
nbeats,m4,Monthly,6,0.0005976452501402,1.91933408080412,14263.246939736122,0.0961983528852368,404.50558594423705,1234071.5253715597
nbeatsmoe,m4,Quarterly,8,0.000224317682206,1.4092418265660782,17574.357293119247,0.0988436054336873,548.8848396244224,1742883.1064698268
nbeats,m4,Monthly,12,0.0003978191636055,1.2055705869311517,14197.01097905363,0.1132340285526308,482.2711216249829,1615669.7938049803
nbeats,m4,Monthly,18,0.0005032167629108,1.880330158563505,6974.693562419823,0.1317384289673652,559.6825538478176,1843365.233413904
nbeats,m4,Yearly,2,0.0001641171540041,0.9421511793281504,6083.2448188448425,0.0761213922216068,484.93839184337344,1652048.8190537638
nbeats,m4,Monthly,24,0.0008170931372056,3.290522301980569,17816.83418331295,0.1393888906697223,604.5235041413707,2044589.8168374333
nbeats,m4,Yearly,3,0.0003211756363153,2.7600084613311298,24716.24896698533,0.086316382058307,539.6304866137853,1812832.6377473536
nbeats,m4,Yearly,4,0.0005950975539261,4.395903774392099,19732.932366738885,0.1032037088774907,639.3732522185911,2247724.373128791
nbeatsmoe,m4,Yearly,2,0.0003437845757838,2.025450941873394,25359.013452293915,0.0762183264725878,485.3581545941951,1655610.0451463363
nbeatsmoe,m4,Yearly,3,0.000250572015565,1.8360056229277864,17774.84021462208,0.0865090012410624,541.1667814001871,1830346.817448705
nbeatsmoe,m4,Yearly,4,0.0005963758287552,4.304279237046462,28546.83797920345,0.1037644639188684,642.7366279359449,2256022.2448278605
nbeats,gluonts_m1_quarterly,Q,2,0.0010884828603821,146.3314871997711,20781800.60516084,0.1080494190419945,2143.0787313715578,139295304.5800468
nbeats,gluonts_tourism_quarterly,Q,8,0.0059851506140774,606.7911424526508,1518356472.3396552,0.2076635733858061,12479.67958124851,9863072690.39349
nbeats,gluonts_tourism_yearly,Y,4,0.0321676282913342,13245.25620451782,213407325311.75345,0.3529480634826091,83843.0068671066,664356997005.1788
nbeats,gluonts_m1_yearly,Y,2,0.0047043384032485,948.4102615703808,7263921893.082037,0.0978170105277154,56942.05463856096,153178283065.13937
nbeatsmoe,gluonts_m1_quarterly,Q,2,0.0018967622082239,75.63078386864066,11605409.557428429,0.1114552375989775,2271.364703140749,162864233.0744648
nbeatsmoe,gluonts_tourism_yearly,Y,4,0.0043968029294017,2124.349755663454,53191795013.195984,0.2945450382116517,108155.49723356792,1249016549282.8965
nbeatsmoe,gluonts_tourism_quarterly,Q,8,0.0038606558899515,964.9142952027536,5294476805.082177,0.1980045352905332,13196.121713165518,13697913262.952011
nbeats,gluonts_m1_monthly,M,8,0.0131073300530104,0.3417136584278638,5775.945067835897,0.1907815295735807,2314.133970231734,521444032.5041677
nbeatsmoe,gluonts_m1_yearly,Y,2,0.0009333318887656,1406.592872181101,10058938230.489264,0.0867494514325321,75870.61206245949,258292279939.49823
nbeatsmoe,gluonts_m1_monthly,M,8,0.0014663547201716,40.10871720682649,44579656.53242845,0.1381627590099454,1918.9458761716555,462313439.0668079
nbeats,gluonts_tourism_monthly,M,18,0.0015409359996071,109.60183470763884,59359359.9789449,0.2457571902250652,3741.349573945232,628442147.3815849
nbeatsmoe,gluonts_tourism_monthly,M,18,0.0040327007059175,90.27569403148172,40937063.11526941,0.2332149517778783,3490.79142739864,543392014.3128984
nbeatsstackmoe,gluonts_m1_yearly,Y,2,0.0016947218816637,1598.5202792218213,11554638048.155672,0.0992236308920521,54525.73592003768,135579883645.47765
nbeatsstackmoe,gluonts_m1_monthly,M,8,0.0091490457133147,84.11013618887449,24587742.13743077,0.1762001564053187,2194.662512423464,512746411.2862239
nbeatsstackmoe,gluonts_m1_quarterly,Q,2,0.0010102432712123,107.7818220834688,16642860.123390593,0.1097789140114361,2078.1743250247,128727251.73514624
nbeatsstackmoe,gluonts_tourism_quarterly,Q,8,0.0057560457406162,551.3319192887428,2528561832.3956714,0.2018975311936002,12814.039882124309,11319691973.99792
nbeatsstackmoe,gluonts_tourism_monthly,M,18,0.0039895161269001,57.03466477660371,33535700.665476747,0.2428831035253462,3569.1293334186475,567817893.6051091
nbeatsstackmoe,gluonts_tourism_yearly,Y,4,0.0244849606983318,8880.763566777778,110181529545.60536,0.3435077806991158,83855.30205450564,664358685038.8956
nbeatsstackmoe,m3,Monthly,4,0.0003946737073024,2.2333681400797536,15646.972880641002,0.1136309406256602,469.3311401248578,870264.6654776186
nbeatsstackmoe,m3,Quarterly,2,0.008451469995005,36.14005208657156,84968.39485357903,0.0772068807308162,399.9160276741956,644086.4630539259
nbeatsstackmoe,m3,Monthly,6,0.0005375148589743,4.396685343386348,61588.26691210012,0.1142547324165589,478.387830667006,958530.0038868017
nbeatsstackmoe,m3,Yearly,2,0.0011545445853321,6.769639437186116,22014.491160221285,0.1057186569455246,621.9568347735737,1462187.2277691723
nbeatsstackmoe,m3,Quarterly,4,0.006208761641951,35.281333730715936,166913.5934104753,0.0763964344143316,398.459673297216,664467.7386418916
nbeatsstackmoe,m3,Monthly,12,0.0009705505205024,3.529506406714106,23183.34134832819,0.1271432754390983,551.8413030319944,1252437.661394152
nbeatsstackmoe,m3,Monthly,18,0.0012442576207076,4.084607886026667,21917.97046951908,0.1382948403157707,613.6792173629842,1373411.1056694128
nbeatsstackmoe,m3,Quarterly,6,0.0036488910371007,17.312609830364632,56248.98905464247,0.0902150975917855,471.4939251387393,810306.4504235539
nbeatsstackmoe,m3,Yearly,3,0.0016075074822724,5.476133531792253,41964.03058352217,0.1368189302889368,792.586786074143,1925213.6913379016
nbeatsstackmoe,m3,Quarterly,8,0.0072443975846967,38.45633952262505,103558.066618171,0.1014469238357825,541.3958942598515,1054964.354974374
nbeatsstackmoe,m3,Monthly,24,0.0009073487767955,3.536257981657953,23865.48598080733,0.1456683005562141,650.2329032269913,1456846.1768557844
nbeatsstackmoe,m3,Yearly,4,0.001073352517610835,7.276380565787382,49974.14239072393,0.1478206739424111,860.4534610160414,2170294.3617043165
